Job Title,Job Title Clean,Job Title Clean 2
Office Admin (HR),Office Admin,['Office Admin']
admin assistant ( part time 5 hour daily ),Admin Assistant,['admin assistant']
Personal Assistant (个人助理),Personal Assistant,['Personal Assistant']
Admin Executive (1 Year Contract),Admin Executive,['Admin Executive']
Executive Assistant (5 days/SG),Executive Assistant,['Executive Assistant']
Logistics Admin,Logistics Admin,['Logistics Admin']
Personal Assistant,Personal Assistant,['Personal Assistant']
Administrative Coordinator,Administrative Coordinator,['Administrative Coordinator']
Admin/ Office Assistant,Office Assistant,['Admin/ Office Assistant']
Admin Assistant / Customer Service (Logistics)  x 3 - 5 Days,Admin Assistant / Customer Service,['Admin Assistant / Customer Service']
Admin Assistant,Admin Assistant,['Admin Assistant']
Office Admin Assistant,Office Admin Assistant,['Office Admin Assistant']
Admin cum Account Assistant,Admin Cum Account Assistant,['Admin']
Admin Assistant,Admin Assistant,['Admin Assistant']
"Admin Executive, Data Management (GOVT) | JO-25120",Admin Executive,['Admin Executive']
"Key Account Executive, Healthcare",Key Account Executive,['Key Account Executive']
Business Development Executive,Business Development Executive,['Business Development Executive']
Freelance Healthcare Assistant ($17-19/Hr)  #SEEKBetter,Freelance Healthcare Assistant,['Freelance Healthcare Assistant']
Dental Assistant cum Receptionist,Dental Assistant Cum Receptionist,['Dental Assistant cum Receptionist']
Medical Sales Executive (Medical Devices),Medical Sales Executive,['Medical Sales Executive']
Temp Pharmacy Assistant (Office hours; 5 days),Temp Pharmacy Assistant,['Temp Pharmacy Assistant']
Admin Officer,Admin Officer,['Admin Officer']
Despatch Assistant,Assistant,['Despatch Assistant']
"Patient Care Assistant, Emergency Department / Inpatient",Patient Care Assistant,['Patient Care Assistant']
(Senior) Operations Executive - Hospital,(Senior) Operations Executive - Hospital,[]
Temp Pharmacy Assistant (Office hours; 5 days),Temp Pharmacy Assistant,['Temp Pharmacy Assistant']
Pharmacy Technician / Pharmacy Assistant,Pharmacy Technician / Pharmacy Assistant,['Pharmacy Technician']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Therapy Assistant,Therapy Assistant,['Therapy Assistant']
"Client Service Executive, Diagnostic Imaging Suite",Client Service Executive,['Client Service Executive']
Helpline Counsellor,Helpline Counsellor,['Helpline Counsellor']
Pharmacy Technician,Pharmacy Technician,['Pharmacy Technician']
Associate Clinical Research Coordinator / Clinical Research Coordinator,Associate Clinical Research Coordinator,['Associate Clinical Research Coordinator / Clinical Research Coordinator']
Basic Care Assistant,Basic Care Assistant,['Basic Care Assistant']
Senior Dental Surgery Assistant/ Dental Surgery Assistants,Senior Dental Surgery Assistant,['Senior Dental Surgery Assistant/ Dental Surgery Assistants']
"Executive / Senior Executive, Clinical Quality, Performance and Value",Executive / Senior Executive,['Executive']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
"Social Worker (FSC, Punggol)",Social Worker,['Social Worker']
Assistant Research Officer (GOVT) | JO-24050,Govt,['Assistant Research Officer']
Oral Health Therapist,Oral Health Therapist,['Oral Health Therapist']
Finance Director,Finance Director,['Finance Director']
Medical Information Support Specialist,Medical Information Support Specialist,['Medical Information Support Specialist']
IT Support Specialist (Contract),Specialist,['IT Support Specialist']
Assistant Engineer/Engineer (IT System) | Entry level,Assistant Engineer/Engineer,['Assistant Engineer/Engineer']
"Service Desk Analyst (Network, servers system) | Entry level",Service Desk Analyst,['Service Desk Analyst']
Regional IT Support Engineer,Regional It Support Engineer,['Regional IT Support Engineer']
Desksite Support Engineer,Desksite Support Engineer,['Desksite Support Engineer']
IT Executive,It Executive,['IT Executive']
"Business Analyst, Technology Consulting",Business Analyst,['Business Analyst']
Junior Data Analyst (Visualization-Focused),Junior Data Analyst,['Junior Data Analyst']
Assistant Engineer (Entry Level) – MNC | 5 Days | Office Hours,Assistant Engineer,['Assistant Engineer']
Shift Engineer [No Experience Required | Up to $5k Gross],No Experience,['Shift Engineer']
Process Engineer [Manufacturing | No Experience Required | Up to $5k],No Experience,['Process Engineer']
Technician (Maintenance) (5 days work),(Maintenance) (5 Days Work,['Technician']
ELECTRICAL Engineer/ Senior Engineer / Manager,Electrical Engineer/ Senior Engineer / Manager,['ELECTRICAL Engineer/ Senior Engineer / Manager']
Field Engineer [No Experience Required | Manufacturing | Up to $5k + Bonus],[No Experience,['Field Engineer']
Equipment Service Engineer [ Entry Level | Semicon],Equipment Service Engineer,['Equipment Service Engineer']
Service Technician,Service Technician,['Service Technician']
Electronics Engineer (Manufacturer),Electronics Engineer,['Electronics Engineer']
Process Engineer (East Area/MFG Industry/12 hours shift) Entry level are welcome,Process Engineer,['Process Engineer']
"Technical Officer, Maintenance (Mechanical)",Technical Officer,['Technical Officer']
Associate Engineer (Teradyne ETS88),Associate Engineer,['Associate Engineer']
Mechanical Designer,Mechanical Designer,['Mechanical Designer']
Maintenance Technician (Pharmaceutical Ind/ West),Maintenance Technician,['Maintenance Technician']
Process Engineer (Pharmaceutical Industry),Process Engineer,['Process Engineer']
New Product Engineer (Mfg Industry/5 days/East Area)#Immediate,New Product Engineer,['New Product Engineer']
Civil Project Engineer  (Main Contractor /Construction),Civil Project Engineer,['Civil Project Engineer  ']
Service Engineer (Port Machinery),Service Engineer,['Service Engineer']
"[LTA Project] x3 QAQC Engineer/$4000-$5500, 5days,Central",[Lta Project] X3 Qaqc Engineer/$4000-$5500,[]
Port Equipment Service Engineer,Port Equipment Service Engineer,['Port Equipment Service Engineer']
Electrical Engineer,Electrical Engineer,['Electrical Engineer']
BIM Modeller (Mechanical / Electrical),Bim Modeller,['BIM Modeller']
Junior Electrical Technician (Manufacturing / Semiconductor) – Immediate Hiring,Junior Electrical Technician,['Junior Electrical Technician']
Bank Contract Roles | Office Hours | $2000- $5000 | 3-12 months contract,Bank Contract Roles,['Bank Contract Roles']
"Intern, Financial Crime Compliance (Full time/Part time)",Intern,['Intern']
Compliance Officer (KYC Onboarding),Compliance Officer,['Compliance Officer']
Temp Admin Assistant – Healthcare | No Experience Required,Temp Admin Assistant,['Temp Admin Assistant']
Admin & HR Officer,Admin,['Admin & HR Officer']
$2980/Mth | Govt Admin Officer | Mon - Fri (Office Hrs),Govt Admin Officer,[]
Administrative Operation Assistant,Administrative Operation Assistant,['Administrative Operation Assistant']
(Entry level) Administrative Assistant / Admin Support,(Entry Level,['Administrative Assistant']
Condo Admin Assistant,Condo Admin Assistant,['Condo Admin Assistant']
HR Assistant,Hr Assistant,['HR Assistant']
"Order Processing Admin [5-day, Entry-level]",Order Processing Admin,['Order Processing Admin']
"Sales Coordinator/ Admin Assistant (5 Days, Entry Level)",Sales Coordinator/,['Admin Assistant']
Admin Assistant (Shipping-SIMPLE DUTY) - Up to $3200 | CENTRAL,Admin Assistant,['Admin Assistant']
Personal Assistant Cum Admin,Personal Assistant Cum Admin,['Personal Assistant Cum Admin']
Admin Assistant,Admin Assistant,['Admin Assistant']
Sales Admin / Admin / Coordinator [Multiple Location | Entry Level],Sales Admin / Admin / Coordinator,['Sales Admin / Admin / Coordinator']
"Admin Executive (Office Administration | MNC) - Up to $4,000 + Performance Bonus",Admin Executive,['Admin Executive']
Receptionist (High Bonuses),Receptionist,['Receptionist']
"Admin Assistant (Work Life Balance | Woodlands) - Up to $3,000 + Bonus",Admin Assistant,['Admin Assistant']
Customer Service Officer/Executive (Shipping) | $2300 - $3000/ 5 Days,(Shipping,['Customer Service Officer/Executive']
Administrative Assistant,Administrative Assistant,['Administrative Assistant']
Receptionist Cum Admin,Receptionist Cum Admin,['Receptionist']
Admin Cum Accounts Assistant- West/East- Office Hour- Basic + Bonus,Admin Cum Accounts,['Admin Cum Accounts Assistant- West/East-']
"Admin & HR Officer (1 Day WFH/Week) - Up to $3,200 + AWS + Performance Bonus",Admin,['Admin']
Executive,Executive,['Executive']
Admin Assistant (Singaporeans only/Admin experience/West),Admin Assistant,['Admin Assistant']
Data Entry Clerk,Data Entry Clerk,['Data Entry Clerk']
Administration Officer [East | Up to $3k Basic],Administration Officer,['Administration Officer']
Clinic assistant,Clinic Assistant,['Clinic assistant']
Clinic Assistant (Tampines),Clinic Assistant,['Clinic Assistant']
Clinic Assistant (Woodlands),Clinic Assistant,['Clinic Assistant']
Clinic Assistant (Orchard),Clinic Assistant,['Clinic Assistant']
Project Executive,Project Executive,['Project Executive']
Care Support Associate (Wards / Operating Theatre / Emergency Department),Care Support Associate,['Care Support Associate']
"Director, Patient Billing Office",Director,['Director']
Resident Physician (Various Discipline),Resident Physician,['Resident Physician']
Healthcare Operations Executive / Assistant Manager,Healthcare Operations Executive / Assistant Manager,['Healthcare Operations Executive / Assistant Manager']
Desktop Support Engineer,Desktop Support Engineer,['Desktop Support Engineer']
Assistant IT Manager,Assistant It Manager,['Assistant IT Manager']
Desktop Engineer (L1 | L2),Desktop Engineer,['Desktop Engineer']
Software Developer,Software Developer,['Software Developer']
Desktop Engineer/ Network Engineer/ System Engineer/Cloud Engineer/Admin Asst,Network Engineer/,"['Desktop Engineer/ Network', 'Admin Asst']"
IT Project Engineer (No Experience Required),It Project Engineer,['IT Project Engineer']
Software Developer,Software Developer,['Software Developer']
"IT Helpdesk Support (Vessel, up to $3200)",It Helpdesk Support,['IT Helpdesk Support']
Business Data Analyst,Business Data Analyst,['Business Data Analyst']
QA Engineer (Automation)- Gov Agency,Qa Engineer,['QA Engineer']
Production Engineer - Data Analyst / 5 days / $4K-$5K,Production Engineer - Data Analyst,['Production Engineer']
Group IT Infrastructure & Systems Manager,Group It Infrastructure & Systems Manager,['Group IT Infrastructure & Systems Manager']
Software Developer,Software Developer,['Software Developer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
IT SUPPORT OFFICER,It Support Officer,['IT SUPPORT OFFICER']
L1 Data Centre Engineer,L1 Data Centre Engineer,['L1 Data Centre Engineer']
ERP Functional Executive / Consultant,Erp Functional Executive / Consultant,['ERP Functional Executive / Consultant']
IT Support Engineer (Cloud Management / IT Infrastructure/ DHCP),It Support Engineer,['IT Support Engineer']
"IT Admin I 1 Year Contract I up to $3,200 per month",Month,['IT Admin']
Software Testing Engineer,Software Testing Engineer,['Software Testing Engineer']
IT Assurance Executive,It Assurance Executive,['IT Assurance Executive']
Business Analyst,Business Analyst,['Business Analyst']
Urgent!! IT Support Engineer (Hardware/software)_cp1,It Support Engineer,['! IT Support Engineer']
Data Analyst - SeaMoney Credit,Data Analyst - Seamoney Credit,['Data Analyst']
Frontend Developer (React),Frontend Developer,['Frontend Developer']
Data Management & Sales Support Executive / SAP / $5K+,Data Management,['Data Management & Sales Support Executive']
IT Onsite Support/ Desktop Support #IVG,Support/ Desktop Support,['IT Onsite']
Senior IT Administrator,Senior It Administrator,['Senior IT Administrator']
IT Engineer (Entry Level - OJT Provided),It Engineer,['IT Engineer']
"Computer Operator - (IT Ops, Command Center exp)",Computer Operator,['Computer Operator']
Business Analyst (MNC),Business Analyst,['Business Analyst']
Data Centre Operator,Data Centre Operator,['Data Centre Operator']
Data Analyst/Specialist,Data Analyst/Specialist,['Data Analyst/Specialist']
Systems Analyst (St Andrew's Community Hospital),Systems Analyst,['Systems Analyst']
Head of Product,Product,['Product']
"Senior Director, Technology",Senior Director,['Senior Director']
Test Technician x30 (Up $3200 /East/5 Days/AWS+Bonus),Days/Aws+Bonus,['Test Technician']
Onsite Engineer (Multiple locations),Onsite Engineer,['Onsite Engineer']
Data Analyst,Data Analyst,['Data Analyst']
Infrastructure Engineer,Infrastructure Engineer,['Infrastructure Engineer']
"IT Support Engineer (Manufacturing Domain, East Location) (ID: 667133) - JYK",It Support Engineer,['IT Support Engineer']
Security System Administrator (SSA),Security System Administrator,['Security System Administrator']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
Entry IT - Data Center Operator (DC Ops) | OJT Provided | Up to $2600*,Entry It - Data Center Operator,['Entry IT']
"IT Infrastructure Manager (East,Dell system, 5 days, Office hours, Retail MNC) )",It Infrastructure Manager,['IT Infrastructure Manager']
Presales Consultant,Presales Consultant,['Presales Consultant']
"IT Onsite Desktop Support (East, up to $4000, Team lead) #IFL",Desktop Support,['IT Onsite Desktop Support']
Service Delivery Manager,Service Delivery Manager,['Service Delivery Manager']
Regional IT Specialist / Up to 5k (Luxury Retail MNC),Regional It Specialist,['Regional IT Specialist']
